category	filename	ap_en	entropy
canon	canon-text01.txt	1.94480	2.01259
canon	canon-text02.txt	1.94672	2.01696
noncanon	noncanon-text01.txt	1.96402	2.03251
noncanon	noncanon-text02.txt	1.95325	2.08213
